Table 1
date,temperaturemin,precipitation,,,,
2008-09-08,66.9,0.0,,,,
2008-09-10,66.9,1.19,,,,
2008-09-17,60.1,0.0,,,,
2008-09-18,55.9,0.0,,,,
2008-09-19,55.9,0.0,,,,
2008-09-26,63.0,0.96,,,,
2008-10-03,46.9,0.0,,,,
2008-10-08,52.0,0.0,,,,
2008-10-10,64.9,0.02,,,,
2008-10-11,60.1,0.0,,,,
2008-10-12,55.9,0.0,,,,
2008-10-15,54.0,0.0,,,,
2008-10-23,39.0,0.0,,,,
2008-10-25,57.9,0.02,,,,
2008-10-26,44.1,0.0,,,,
2008-11-12,39.0,0.0,,,,
2008-11-13,51.1,0.09,,,,
2008-11-15,51.1,0.62,,,,
2008-11-19,27.0,0.0,,,,
2008-11-28,39.0,0.0,,,,
2008-12-01,36.0,0.0,,,,
2008-12-07,25.0,0.0,,,,
2008-12-10,61.0,0.07,,,,
2008-12-17,44.1,0.0,,,,
2008-12-23,21.9,0.0,,,,
2009-01-19,35.1,0.02,,,,
2009-01-20,23.0,0.19,,,,
2009-01-21,12.9,0.0,,,,
2009-01-22,21.9,0.0,,,,
2009-02-01,32.0,0.0,,,,
2009-02-12,51.1,0.0,,,,
2009-02-13,41.0,0.0,,,,
2009-02-16,30.9,0.0,,,,
2009-02-18,39.9,0.59,,,,
2009-02-25,25.0,0.0,,,,
2009-03-05,28.9,0.0,,,,
2009-03-09,55.0,0.0,,,,
2009-03-20,41.0,0.0,,,,
2009-04-01,53.1,0.01,,,,
2009-04-03,55.0,0.06,,,,
2009-04-04,46.9,0.0,,,,
2009-04-09,43.0,0.0,,,,
2009-04-16,43.0,0.0,,,,
2009-04-19,53.1,0.0,,,,
2009-04-22,46.9,0.0,,,,
2009-05-06,61.0,0.17,,,,
2009-05-08,62.1,0.0,,,,
2009-05-09,66.9,0.08,,,,
2009-05-13,55.0,0.0,,,,
2009-05-15,69.1,0.0,,,,
2009-05-17,52.0,0.29,,,,
2009-05-18,48.9,0.06,,,,
2009-05-20,44.1,0.0,,,,
2009-05-22,57.9,0.0,,,,
2009-06-04,68.0,0.76,,,,
2009-06-07,62.1,0.0,,,,
2009-06-09,66.0,0.82,,,,
2009-06-10,64.9,0.07,,,,
2009-06-27,71.1,0.0,,,,
2009-06-28,63.0,0.0,,,,
2009-07-07,64.0,0.0,,,,
2009-07-13,69.1,0.63,,,,
2009-07-14,64.9,0.0,,,,
2009-07-15,63.0,0.0,,,,
2009-07-27,73.0,0.0,,,,
2009-07-29,72.0,0.28,,,,
2009-07-31,73.0,0.03,,,,
2009-08-01,73.0,0.0,,,,
2009-08-05,72.0,0.18,,,,
2009-08-08,69.1,0.0,,,,
2009-08-13,71.1,0.0,,,,
2009-08-15,71.1,0.0,,,,
2009-08-20,73.0,0.0,,,,
2009-08-23,69.1,0.0,,,,
2009-08-24,68.0,0.0,,,,
2009-08-28,71.1,0.37,,,,
2009-09-07,63.0,0.57,,,,
2009-09-13,59.0,0.0,,,,
2009-09-15,62.1,0.0,,,,
2009-10-06,60.1,0.02,,,,
2009-10-09,55.9,0.0,,,,
2009-10-12,53.1,0.19,,,,
2009-10-19,34.0,0.0,,,,
2009-10-26,44.1,0.06,,,,
2009-10-27,54.0,0.12,,,,
2009-11-03,37.9,0.0,,,,
2009-11-05,37.9,0.0,,,,
2009-11-18,52.0,0.45,,,,
2009-11-20,42.1,0.0,,,,
2009-11-27,36.0,0.0,,,,
2009-12-01,30.0,0.0,,,,
2009-12-06,28.0,0.0,,,,
2009-12-14,37.9,0.0,,,,
2009-12-22,24.1,0.0,,,,
2009-12-24,27.0,0.0,,,,
2009-12-26,39.0,0.0,,,,
2009-12-29,24.1,0.0,,,,
2010-01-01,30.9,0.0,,,,
2010-01-21,37.0,0.65,,,,
2010-01-23,30.0,0.0,,,,
2010-01-24,39.9,0.13,,,,
2010-01-29,28.0,0.1,,,,
2010-02-01,18.0,0.0,,,,
2010-02-04,30.0,0.0,,,,
2010-02-05,33.1,1.37,,,,
2010-02-11,30.0,0.0,,,,
2010-02-15,28.9,0.03,,,,
2010-02-17,25.0,0.0,,,,
2010-02-22,36.0,0.29,,,,
2010-02-24,37.0,0.12,,,,
2010-03-18,45.0,0.0,,,,
2010-03-24,39.0,0.0,,,,
2010-03-27,32.0,0.0,,,,
2010-03-28,37.9,0.09,,,,
2010-03-30,51.1,0.0,,,,
2010-04-02,54.0,0.0,,,,
2010-04-04,57.9,0.0,,,,
2010-04-06,62.1,0.0,,,,
2010-04-10,42.1,0.0,,,,
2010-04-12,46.0,0.0,,,,
2010-04-21,48.0,0.33,,,,
2010-04-25,62.1,0.29,,,,
2010-04-26,59.0,0.0,,,,
2010-05-14,64.9,0.0,,,,
2010-05-17,55.9,2.3,,,,
2010-05-19,57.0,0.36,,,,
2010-05-21,54.0,0.0,,,,
2010-05-27,60.1,0.0,,,,
2010-05-29,64.9,0.02,,,,
2010-05-31,69.1,0.0,,,,
2010-06-06,72.0,0.18,,,,
2010-06-13,72.0,1.23,,,,
2010-06-14,71.1,0.0,,,,
2010-06-19,73.0,0.0,,,,
2010-06-20,72.0,0.0,,,,
2010-06-22,69.1,0.0,,,,
2010-07-02,57.9,0.0,,,,
2010-07-04,61.0,0.0,,,,
2010-07-06,66.0,0.0,,,,
2010-07-07,69.1,0.0,,,,
2010-07-10,73.9,0.0,,,,
2010-07-16,77.0,0.0,,,,
2010-07-22,75.0,0.0,,,,
2010-08-01,66.0,0.1,,,,
2010-08-02,70.0,0.0,,,,
2010-08-09,71.1,0.0,,,,
2010-08-12,75.9,0.05,,,,
2010-08-20,71.1,0.0,,,,
2010-08-28,70.0,0.0,,,,
2010-08-31,64.9,0.0,,,,
2010-09-05,54.0,0.0,,,,
2010-09-12,64.9,0.03,,,,
2010-09-13,63.0,0.0,,,,
2010-09-15,59.0,0.0,,,,
2010-09-19,60.1,0.0,,,,
2010-09-21,66.9,0.0,,,,
2010-09-29,63.0,1.69,,,,
2010-10-01,55.0,0.01,,,,
2010-10-07,46.9,0.0,,,,
2010-10-08,48.0,0.0,,,,
2010-10-14,55.0,1.11,,,,
2010-11-01,46.0,0.0,,,,
2010-11-04,48.0,0.72,,,,
2010-11-10,39.9,0.0,,,,
2010-11-16,54.0,0.38,,,,
2010-12-15,16.0,0.0,,,,
2010-12-16,28.0,0.6,,,,
2010-12-17,28.0,0.0,,,,
2010-12-20,25.0,0.0,,,,
2010-12-23,32.0,0.0,,,,
2010-12-25,32.0,0.15,,,,
2010-12-30,24.1,0.0,,,,
2011-01-09,19.0,0.0,,,,
2011-01-19,42.1,0.0,,,,
2011-01-23,16.0,0.0,,,,
2011-01-31,35.1,0.0,,,,
2011-02-03,32.0,0.0,,,,
2011-02-07,30.0,0.0,,,,
2011-02-17,39.9,0.0,,,,
2011-03-07,34.0,0.0,,,,
2011-03-08,28.0,0.0,,,,
2011-03-10,42.1,0.47,,,,
2011-03-11,36.0,0.0,,,,
2011-03-12,30.9,0.0,,,,
2011-03-18,46.0,0.0,,,,
2011-03-19,55.9,0.0,,,,
2011-03-23,50.0,0.45,,,,
2011-04-03,33.1,0.0,,,,
2011-04-30,46.0,0.0,,,,
2011-05-04,50.0,0.67,,,,
2011-05-18,55.0,0.0,,,,
2011-05-22,59.0,0.0,,,,
2011-05-23,66.0,0.09,,,,
2011-05-26,73.0,0.0,,,,
2011-05-31,70.0,0.0,,,,
2011-06-06,69.1,0.0,,,,
2011-06-11,70.0,0.3,,,,
2011-06-19,66.0,0.0,,,,
2011-06-22,72.0,0.0,,,,
2011-06-23,73.9,0.0,,,,
2011-07-02,66.0,0.0,,,,
2011-07-13,75.9,0.0,,,,
2011-07-14,69.1,0.0,,,,
2011-07-19,70.0,0.0,,,,
2011-07-23,78.1,0.0,,,,
2011-07-27,73.0,0.0,,,,
2011-07-30,75.0,2.1,,,,
2011-07-31,73.0,1.16,,,,
2011-08-11,71.1,0.0,,,,
2011-08-13,71.1,0.48,,,,
2011-08-16,64.0,0.0,,,,
2011-08-23,66.0,0.0,,,,
2011-08-25,72.0,0.0,,,,
2011-09-01,60.1,0.0,,,,
2011-09-05,72.0,0.12,,,,
2011-09-07,69.1,0.0,,,,
2011-09-09,63.0,0.0,,,,
2011-09-14,66.0,0.0,,,,
2011-09-22,70.0,0.08,,,,
2011-09-25,70.0,0.0,,,,
2011-09-29,61.0,0.0,,,,
2011-10-01,46.9,0.0,,,,
2011-10-03,42.1,0.0,,,,
2011-10-05,48.9,0.0,,,,
2011-10-08,46.0,0.0,,,,
2011-10-25,45.0,0.0,,,,
2011-10-28,43.0,0.08,,,,
2011-11-05,37.9,0.0,,,,
2011-11-06,39.9,0.0,,,,
2011-11-08,39.9,0.0,,,,
2011-11-11,33.1,0.0,,,,
2011-11-15,62.1,0.0,,,,
2011-11-17,34.0,0.54,,,,
2011-11-21,60.1,0.0,,,,
2011-11-27,51.1,0.0,,,,
2011-12-22,61.0,0.08,,,,
2012-01-01,35.1,0.01,,,,
2012-01-05,30.0,0.0,,,,
2012-01-16,27.0,0.0,,,,
2012-01-20,33.1,0.19,,,,
2012-01-30,28.0,0.0,,,,
2012-02-05,32.0,0.15,,,,
2012-02-15,41.0,0.0,,,,
2012-02-19,33.1,0.71,,,,
2012-02-20,30.0,0.0,,,,
2012-03-05,32.0,0.0,,,,
2012-03-11,30.9,0.0,,,,
2012-03-12,42.1,0.0,,,,
2012-03-15,54.0,0.0,,,,
2012-03-20,57.9,1.58,,,,
2012-03-24,55.9,0.66,,,,
2012-03-26,53.1,0.03,,,,
2012-03-27,39.0,0.0,,,,
2012-03-28,44.1,0.0,,,,
2012-03-29,55.9,0.0,,,,
2012-03-31,59.0,0.27,,,,
2012-04-17,60.1,0.0,,,,
2012-04-20,51.1,0.0,,,,
2012-04-26,55.9,0.38,,,,
2012-04-30,61.0,0.0,,,,
2012-05-02,66.9,0.0,,,,
2012-05-10,51.1,0.0,,,,
2012-05-15,64.9,0.15,,,,
2012-05-19,54.0,0.0,,,,
2012-05-21,66.0,0.0,,,,
2012-05-23,64.0,0.03,,,,
2012-05-29,72.0,0.0,,,,
2012-05-30,64.0,0.39,,,,
2012-06-03,52.0,0.0,,,,
2012-06-04,61.0,0.0,,,,
2012-06-07,54.0,0.0,,,,
2012-06-11,71.1,1.06,,,,
2012-06-12,68.0,0.43,,,,
2012-06-15,59.0,0.0,,,,
2012-07-02,73.9,0.0,,,,
2012-07-03,72.0,0.0,,,,
2012-07-10,73.0,0.01,,,,
2012-07-17,71.1,0.0,,,,
2012-07-19,75.9,0.0,,,,
2012-07-23,72.0,0.11,,,,
2012-07-25,70.0,0.0,,,,
2012-07-30,71.1,0.0,,,,
2012-08-04,75.0,0.0,,,,
2012-08-08,69.1,0.06,,,,
2012-08-09,66.0,0.0,,,,
2012-08-13,66.9,0.0,,,,
2012-09-01,73.0,0.0,,,,
2012-09-02,72.0,1.85,,,,
2012-09-14,63.0,0.0,,,,
2012-09-16,59.0,0.69,,,,
2012-09-21,55.0,0.0,,,,
2012-09-24,51.1,0.0,,,,
2012-09-26,54.0,0.0,,,,
2012-10-02,66.9,0.12,,,,
2012-10-05,57.0,0.0,,,,
2012-10-14,44.1,0.0,,,,
2012-10-15,55.9,0.11,,,,
2012-10-16,44.1,0.0,,,,
2012-10-19,53.1,0.19,,,,
2012-10-22,42.1,0.0,,,,
2012-10-24,51.1,0.0,,,,
2012-10-26,57.0,0.01,,,,
2012-10-30,42.1,0.07,,,,
2012-11-03,34.0,0.0,,,,
2012-11-04,42.1,0.0,,,,
2012-11-16,39.0,0.0,,,,
2012-11-24,32.0,0.0,,,,
2012-11-28,28.9,0.0,,,,
2012-12-02,39.0,0.0,,,,
2012-12-03,53.1,0.0,,,,
2012-12-05,44.1,0.0,,,,
2012-12-08,50.0,0.01,,,,
2012-12-12,39.0,0.24,,,,
2012-12-14,27.0,0.0,,,,
2012-12-16,48.0,0.09,,,,
2012-12-26,37.0,1.41,,,,
2012-12-29,37.9,0.37,,,,
2013-01-05,25.0,0.0,,,,
2013-01-11,41.0,0.22,,,,
2013-01-12,48.9,0.0,,,,
2013-01-13,55.0,0.0,,,,
2013-01-20,35.1,0.0,,,,
2013-01-31,33.1,0.09,,,,
2013-02-10,25.0,0.03,,,,
2013-02-15,28.9,0.0,,,,
2013-02-19,35.1,0.14,,,,
2013-02-25,32.0,0.0,,,,
2013-02-26,36.0,0.86,,,,
2013-03-04,26.1,0.0,,,,
2013-03-17,39.0,0.0,,,,
2013-03-23,35.1,0.0,,,,
2013-03-27,34.0,0.0,,,,
2013-03-31,48.0,0.87,,,,
2013-04-02,35.1,0.0,,,,
2013-04-05,39.0,0.04,,,,
2013-04-13,52.0,0.0,,,,
2013-04-18,62.1,0.0,,,,
2013-04-20,44.1,0.01,,,,
2013-04-21,41.0,0.0,,,,
2013-04-22,35.1,0.01,,,,
2013-04-25,50.0,0.0,,,,
2013-04-30,57.0,0.0,,,,
2013-05-02,52.0,0.0,,,,
2013-05-03,48.0,0.0,,,,
2013-05-07,50.0,0.0,,,,
2013-05-22,69.1,0.01,,,,
2013-05-24,52.0,0.0,,,,
2013-05-25,41.0,0.0,,,,
2013-05-26,48.0,0.0,,,,
2013-05-28,64.0,0.0,,,,
2013-06-03,64.0,0.45,,,,
2013-06-04,64.0,0.0,,,,
2013-06-05,64.0,0.0,,,,
2013-06-11,70.0,0.0,,,,
2013-06-14,59.0,0.0,,,,
2013-06-20,63.0,0.0,,,,
2013-06-24,71.1,0.0,,,,
2013-06-25,70.0,0.01,,,,
2013-06-30,68.0,0.99,,,,
2013-07-04,73.0,0.0,,,,
2013-07-06,73.0,0.01,,,,
2013-07-11,72.0,0.2,,,,
2013-07-15,69.1,0.0,,,,
2013-07-24,71.1,0.5,,,,
2013-08-08,72.0,0.0,,,,
2013-08-11,71.1,0.0,,,,
2013-08-13,71.1,0.08,,,,
2013-08-26,55.0,0.0,,,,
2013-09-05,64.9,0.0,,,,
2013-09-20,62.1,0.19,,,,
2013-09-25,53.1,0.0,,,,
2013-10-19,57.9,0.01,,,,
2013-10-21,39.0,0.0,,,,
2013-10-22,51.1,0.0,,,,
2013-10-25,33.1,0.0,,,,
2013-11-04,35.1,0.0,,,,
2013-11-08,33.1,0.0,,,,
2013-11-11,32.0,0.0,,,,
2013-11-16,50.0,0.0,,,,
2013-11-21,41.0,0.0,,,,
2013-11-29,24.3,0.0,,,,
2013-12-06,64.9,0.0,,,,
2013-12-18,31.1,0.0,,,,
2014-01-04,19.2,0.0,,,,
2014-01-08,15.3,0.0,,,,
2014-01-10,39.0,0.57,,,,
2014-01-18,27.1,0.0,,,,
2014-01-23,16.2,0.0,,,,
2014-01-24,11.1,0.0,,,,
2014-01-31,15.3,0.0,,,,
2014-02-05,37.9,0.06,,,,
2014-02-06,31.1,0.0,,,,
2016-08-01,73.0,0.04,,,,
2016-08-11,73.9,0.0,,,,
2016-09-14,66.0,0.0,,,,
2016-09-21,70.0,0.49,,,,
2016-09-25,69.1,0.0,,,,
2016-09-27,66.9,0.0,,,,
2016-10-09,52.0,0.13,,,,
2016-11-10,37.0,0.0,,,,
2016-11-11,36.0,0.0,,,,
2016-11-12,30.2,0.0,,,,
2016-11-19,42.1,0.0,,,,
2016-12-03,33.1,0.0,,,,
2016-12-20,29.1,0.0,,,,
2016-12-21,27.1,0.0,,,,
2016-12-31,23.2,0.0,,,,
2017-01-19,36.0,0.0,,,,
2017-01-20,46.0,0.09,,,,
2017-01-26,43.0,0.06,,,,
2017-01-30,30.2,0.0,,,,
2017-02-06,31.1,0.0,,,,
2017-02-16,32.0,0.0,,,,
2017-03-23,31.1,0.0,,,,
2017-04-01,48.9,0.0,,,,
2017-04-02,48.9,0.0,,,,
2017-04-15,61.0,0.0,,,,
2017-04-16,60.1,0.0,,,,
2017-04-17,62.1,0.05,,,,
2017-05-11,61.0,0.48,,,,
2017-05-12,54.0,0.07,,,,
2017-05-18,66.0,0.0,,,,
2017-05-26,59.0,0.0,,,,
2017-06-16,70.0,2.3,,,,
2017-06-18,73.9,0.17,,,,
2017-07-14,77.0,0.0,,,,
2017-07-18,71.1,0.0,,,,
2017-07-28,75.0,0.21,,,,
2017-07-30,63.0,0.0,,,,
2017-09-11,57.9,0.01,,,,
2017-09-28,63.0,0.0,,,,
2017-11-05,51.1,0.0,,,,
2017-11-18,33.1,0.0,,,,
2013-11-05,37.0,0.0,,,,
2013-11-06,44.1,0.0,,,,
2014-01-03,22.1,0.0,,,,
2014-02-08,34.0,0.0,,,,
2014-02-10,35.1,0.08,,,,
2014-02-14,27.1,0.0,,,,
2014-02-23,34.0,0.0,,,,
2014-02-26,32.0,0.0,,,,
2014-03-03,20.1,0.36,,,,
2014-03-08,27.1,0.0,,,,
2014-03-11,44.1,0.0,,,,
2014-03-19,35.1,0.04,,,,
2014-03-21,32.0,0.0,,,,
2014-03-22,46.0,0.0,,,,
2014-03-25,33.1,0.03,,,,
2014-03-26,29.1,0.0,,,,
2014-03-27,24.3,0.0,,,,
2014-03-30,42.1,0.23,,,,
2014-04-27,51.1,0.0,,,,
2014-05-04,48.9,0.0,,,,
2014-05-10,64.0,0.0,,,,
2014-05-17,46.9,0.0,,,,
2014-05-19,45.0,0.0,,,,
2014-05-27,66.0,0.22,,,,
2014-06-03,57.0,0.05,,,,
2014-06-05,72.0,0.0,,,,
2014-06-06,68.0,0.0,,,,
2014-06-17,70.0,0.0,,,,
2014-06-25,73.0,0.0,,,,
2014-07-02,75.9,0.0,,,,
2014-07-04,71.1,0.0,,,,
2014-07-05,61.0,0.0,,,,
2014-07-06,61.0,0.0,,,,
2014-07-13,71.1,0.0,,,,
2014-07-17,60.1,0.0,,,,
2014-07-23,71.1,0.0,,,,
2014-07-26,69.1,0.0,,,,
2014-07-27,72.0,0.45,,,,
2014-07-31,66.0,0.08,,,,
2014-08-02,64.0,0.08,,,,
2014-08-07,69.1,0.0,,,,
2014-08-09,64.0,1.01,,,,
2014-08-10,66.0,0.56,,,,
2014-08-11,70.0,0.31,,,,
2014-08-12,70.0,2.45,,,,
2014-08-13,66.9,0.0,,,,
2014-08-15,61.0,0.0,,,,
2014-08-16,68.0,0.0,,,,
2014-08-20,70.0,1.06,,,,
2014-08-23,72.0,0.01,,,,
2014-09-01,73.0,0.0,,,,
2014-09-08,68.0,1.04,,,,
2014-09-10,68.0,0.0,,,,
2014-09-12,70.0,0.01,,,,
2014-09-14,62.1,0.03,,,,
2014-09-18,59.0,0.01,,,,
2014-09-24,55.0,3.18,,,,
2014-09-29,64.0,0.01,,,,
2014-10-05,41.0,0.0,,,,
2014-10-21,51.1,0.0,,,,
2014-10-23,42.1,0.0,,,,
2014-10-28,50.0,0.0,,,,
2014-10-30,46.9,0.0,,,,
2014-11-02,37.0,0.0,,,,
2014-11-10,35.1,0.0,,,,
2014-11-18,23.2,0.0,,,,
2014-11-25,48.0,0.1,,,,
2014-12-04,39.9,0.0,,,,
2014-12-05,39.9,0.0,,,,
2014-12-07,35.1,0.0,,,,
2014-12-17,39.0,0.0,,,,
2014-12-25,35.1,0.03,,,,
2014-12-29,41.0,0.72,,,,
2015-01-05,32.0,0.0,,,,
2015-01-06,26.2,0.0,,,,
2015-01-11,17.2,0.0,,,,
2015-01-24,35.1,0.14,,,,
2015-02-11,30.2,0.0,,,,
2015-02-17,19.2,0.39,,,,
2015-02-23,30.2,0.03,,,,
2015-02-24,19.2,0.09,,,,
2015-03-05,32.0,0.97,,,,
2015-03-10,50.0,0.0,,,,
2015-03-11,59.0,0.11,,,,
2015-03-17,46.9,0.0,,,,
2015-03-22,46.9,0.0,,,,
2015-03-23,43.0,0.0,,,,
2015-03-24,36.0,0.0,,,,
2015-03-28,32.0,0.0,,,,
2015-03-29,22.1,0.0,,,,
2015-04-01,46.9,0.0,,,,
2015-04-05,33.1,0.0,,,,
2015-04-08,62.1,0.0,,,,
2015-04-09,57.0,0.53,,,,
2015-04-11,52.0,0.0,,,,
2015-04-12,46.9,0.0,,,,
2015-04-16,48.0,0.05,,,,
2015-04-18,61.0,0.01,,,,
2015-04-20,63.0,0.28,,,,
2015-05-01,51.1,0.58,,,,
2015-05-03,46.9,0.0,,,,
2015-05-05,55.9,0.0,,,,
2015-05-13,57.9,0.0,,,,
2015-05-29,66.0,0.0,,,,
2015-06-17,73.9,0.51,,,,
2015-06-18,71.1,2.1,,,,
2015-06-19,72.0,0.23,,,,
2015-06-23,75.9,0.0,,,,
2015-06-24,73.9,0.0,,,,
2015-06-25,71.1,0.31,,,,
2015-06-27,70.0,0.99,,,,
2015-06-30,66.9,0.02,,,,
2015-07-06,70.0,0.0,,,,
2015-07-24,68.0,0.0,,,,
2015-07-28,73.0,0.0,,,,
2015-07-31,71.1,0.0,,,,
2015-08-01,64.9,0.0,,,,
2015-08-03,69.1,0.0,,,,
2015-08-05,73.0,0.0,,,,
2015-08-07,70.0,0.02,,,,
2015-08-13,63.0,0.0,,,,
2015-08-24,72.0,0.89,,,,
2015-08-29,60.1,0.0,,,,
2015-09-01,66.9,0.0,,,,
2015-09-02,68.0,0.1,,,,
2015-09-17,60.1,0.0,,,,
2015-09-22,66.0,0.0,,,,
2015-09-27,64.0,0.03,,,,
2015-10-01,57.9,0.34,,,,
2015-10-09,60.1,0.0,,,,
2015-10-12,51.1,0.0,,,,
2015-10-13,60.1,0.0,,,,
2015-10-14,52.0,0.0,,,,
2015-10-16,46.9,0.01,,,,
2015-10-26,52.0,0.0,,,,
2015-10-29,57.0,0.05,,,,
2015-10-31,39.9,0.0,,,,
2015-11-04,59.0,0.0,,,,
2015-11-13,44.1,0.0,,,,
2015-11-14,34.0,0.0,,,,
2015-11-16,36.0,0.0,,,,
2015-11-26,39.0,0.0,,,,
2015-12-13,50.0,0.0,,,,
2015-12-15,48.0,0.0,,,,
2015-12-17,51.1,0.89,,,,
2015-12-19,26.2,0.0,,,,
2015-12-25,64.9,0.0,,,,
2015-12-30,63.0,1.79,,,,
2016-01-03,31.1,0.0,,,,
2016-01-13,27.1,0.0,,,,
2016-01-15,35.1,0.37,,,,
2016-01-19,18.1,0.0,,,,
2016-01-22,25.2,0.95,,,,
2016-01-24,28.2,0.0,,,,
2016-01-30,26.2,0.0,,,,
2016-02-07,37.0,0.0,,,,
2016-02-19,26.2,0.0,,,,
2016-02-25,39.9,0.0,,,,
2016-03-04,35.1,0.08,,,,
2016-03-16,57.0,0.0,,,,
2016-03-17,46.0,0.0,,,,
2016-03-23,48.0,0.0,,,,
2016-03-30,42.1,0.0,,,,
2016-04-04,46.0,0.0,,,,
2016-04-10,29.1,0.0,,,,
2016-04-13,45.0,0.0,,,,
2016-04-20,57.0,0.0,,,,
2016-04-27,64.0,0.52,,,,
2016-05-03,63.0,0.44,,,,
